Municipality,DEWA ,KHDA,Police,DESC,Dubai Land,MBRHE (Housing),GDRFAD (Residency),DCD,CDA,RTA,DHA
Application,Request,,Other,,Real Estate,,,,,Application,Other
Application,Other,,Other,,Other,,,,,Application,Other
Application,Other,,Request,,Application,,,,,Certificate,Other
Application,Other,,Other,,Application,,,,,Application,Other
Application,Other,,Other,,Licensing,,,,,Application,Other
Application,Other,,Other,,Application,,,,,Application,Other
Application,Other,,Other,,Application,,,,,Application,Other
Application,Other,,Other,,Licensing,,,,,Application,Other
Application,Other,,Other,,Application,,,,,Application,Other
Application,Other,,Application,,Licensing,,,,,Application,Other
Application,Other,,Request,,Request,,,,,Application,Other
Application,Other,,Application,,Request,,,,,Application,Other
Application,Other,,Other,,Application,,,,,Application,Other
Application,Other,,Verification and Validation,,Request,,,,,Application,Other
Application,Other,,Request,,Request,,,,,Application,Other
Application,Other,,Other,,Application,,,,,Application,Other
Application,Other,,Request,,Request,,,,,Application,Other
Application,Other,,,,Request,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Request,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Application,,,,,Other,Other
Application,Other,,,,Application,,,,,Other,Other
Application,Request,,,,Application,,,,,Application,Other
Application,Request,,,,Request,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Certificate,,,,Application,,,,,Application,Other
Application,Other,,,,Request,,,,,Application,Other
Application,Certificate,,,,Request,,,,,Application,Other
Application,Certificate,,,,Request,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Certificate,,,,Legal and Compliance,,,,,Application,Medical Services
Application,Other,,,,Other,,,,,Other,Medical Services
Application,Certificate,,,,Other,,,,,Application,Other
Application,Other,,,,Other,,,,,Application,Other
Application,Utility and Infrastructure,,,,Other,,,,,Application,Other
Application,Other,,,,Other,,,,,Application,Other
Application,Other,,,,Other,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Application,,,,,Other,Other
Application,Other,,,,Other,,,,,Other,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Other,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Application,,,,,Application,Other
Application,Other,,,,Application,,,,,Other,Other
Application,Other,,,,Application,,,,,Application,Other
,Other,,,,Other,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Request,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Request,,,,Application,,,,,Application,Other
,Request,,,,Application,,,,,Application,Other
,Request,,,,Application,,,,,Application,Other
,Request,,,,Application,,,,,Other,Other
,Other,,,,Application,,,,,Other,Other
,Other,,,,Application,,,,,Other,Other
,Other,,,,Application,,,,,Other,Other
,Other,,,,Application,,,,,Other,Medical Services
,Other,,,,Application,,,,,Other,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Other,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Medical Services
,Partnerships and Collaboration,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Registration,,,,,Application,Other
,Other,,,,Financial Services,,,,,Application,Other
,Other,,,,Other,,,,,Application,Other
,Other,,,,Other,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Other,Other
,Registration,,,,Application,,,,,Other,Insurance
,Other,,,,Application,,,,,Application,Insurance
,Other,,,,Application,,,,,Other,Medical Services
,Other,,,,Application,,,,,Application,Request
,Other,,,,Application,,,,,Application,Request
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Other
,Other,,,,Application,,,,,Application,Application
,Other,,,,Other,,,,,Application,Other
,Other,,,,Application,,,,,Application,Medical Services
,Other,,,,Application,,,,,Application,Application
,Other,,,,Application,,,,,Application,Medical Services
,Other,,,,Application,,,,,Application,Certificate
,Other,,,,Application,,,,,Application,Certificate
,Application,,,,Application,,,,,Application,Other
,,,,,Application,,,,,Application,Licensing
,,,,,Other,,,,,Application,Licensing
,,,,,Application,,,,,Application,Registration
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Registration
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Legal and Compliance
,,,,,,,,,,Application,Application
,,,,,,,,,,Application,Medical Services
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Request
,,,,,,,,,,Application,Request
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Request
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Request
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Medical Services
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Medical Services
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Medical Services
,,,,,,,,,,Application,Medical Services
,,,,,,,,,,Application,Request
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Medical Services
,,,,,,,,,,Application,Legal and Compliance
,,,,,,,,,,Application,Permit
,,,,,,,,,,Application,Licensing
,,,,,,,,,,Other,Other
,,,,,,,,,,Application,Licensing
,,,,,,,,,,Application,Licensing
,,,,,,,,,,Application,Licensing
,,,,,,,,,,Other,Other
,,,,,,,,,,Other,Other
,,,,,,,,,,Other,Licensing
,,,,,,,,,,Other,Licensing
,,,,,,,,,,Other,Licensing
,,,,,,,,,,Application,Licensing
,,,,,,,,,,Application,Licensing
,,,,,,,,,,Application,Licensing
,,,,,,,,,,Application,Medical Services
,,,,,,,,,,Application,Request
,,,,,,,,,,Application,Request
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Rental Services,Application
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Medical Services
,,,,,,,,,,Application,Application
,,,,,,,,,,Application,Certificate
,,,,,,,,,,Application,Certificate
,,,,,,,,,,Application,Other
,,,,,,,,,,Other,Licensing
,,,,,,,,,,Application,Licensing
,,,,,,,,,,Other,Registration
,,,,,,,,,,Application,Other
,,,,,,,,,,Rental Services,Other
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Registration
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Legal and Compliance
,,,,,,,,,,Application,Request
,,,,,,,,,,Application,Other
,,,,,,,,,,Application,Medical Services
,,,,,,,,,,Application,Medical Services
,,,,,,,,,,Application,Medical Services
,,,,,,,,,,Application,Bidding
,,,,,,,,,,Application,Insurance
,,,,,,,,,,Application,Medical Services
,,,,,,,,,,Application,Auditing
,,,,,,,,,,Application,Request
,,,,,,,,,,,Auditing
,,,,,,,,,,,Permit
